side,entry,sl,tp,lots,open_idx,open_time,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,reason
long,0.714712914,0,0,1.0,1456,2021-12-08 12:00:00,0.714876996,2021-12-10 00:00:00,1465,9,0.0001295774943839259,1.4770888745450734,signal
short,0.713177336,0,0,1.0,1474,2021-12-13 12:00:00,0.71304258,2021-12-13 20:00:00,1476,2,8.895160179348947e-05,1.0141147358876474,signal
short,0.711017768,0,0,1.0,1477,2021-12-14 00:00:00,0.71204238,2021-12-14 08:00:00,1479,2,-0.0015410497825982948,-17.570681982503682,signal
long,0.710712114,0,0,1.0,1481,2021-12-14 16:00:00,0.7101579400000001,2021-12-14 20:00:00,1482,1,-0.000879744694206672,-10.01518141386523,signal
short,0.710917788,0,0,1.0,1483,2021-12-15 00:00:00,0.7159731659999999,2021-12-16 00:00:00,1489,6,-0.007211058529316034,-82.01984577825074,signal
short,0.7180863540000001,0,0,1.0,1494,2021-12-16 20:00:00,0.712002372,2021-12-20 00:00:00,1501,7,0.00837249354636816,94.54350094915887,signal
long,0.709321836,0,0,1.0,1503,2021-12-20 08:00:00,0.7116176479999999,2021-12-20 12:00:00,1504,1,0.0031366295290533716,35.71585703693463,signal
long,0.712822536,0,0,1.0,1509,2021-12-21 08:00:00,0.715096952,2021-12-21 20:00:00,1512,3,0.003090718425883215,35.30346877135151,signal
short,0.71860625,0,0,1.0,1516,2021-12-22 12:00:00,0.723504672,2021-12-24 04:00:00,1526,10,-0.006916559137914558,-79.24798796286488,signal
long,0.72109419,0,0,1.0,1533,2021-12-27 08:00:00,0.722835404,2021-12-27 12:00:00,1534,1,0.0023146831636516813,26.33755424682478,signal
short,0.72365524,0,0,1.0,1536,2021-12-27 20:00:00,0.724724916,2021-12-29 20:00:00,1548,12,-0.0015781569190322783,-17.998576844929204,signal
long,0.726805332,0,0,1.0,1549,2021-12-30 00:00:00,0.724745022,2021-12-30 04:00:00,1550,1,-0.0029347480532792157,-33.41741714005068,signal
long,0.725785128,0,0,1.0,1551,2021-12-30 08:00:00,0.72460505,2021-12-30 20:00:00,1554,3,-0.001725933013055585,-19.595194280581186,signal
long,0.7258551419999999,0,0,1.0,1556,2021-12-31 04:00:00,0.722075556,2022-01-03 12:00:00,1564,8,-0.005307080285448948,-60.149370256078676,signal
long,0.719733918,0,0,1.0,1565,2022-01-03 16:00:00,0.71860625,2022-01-03 20:00:00,1566,1,-0.0016667845738513197,-18.79074184663087,signal
long,0.72009399,0,0,1.0,1567,2022-01-04 00:00:00,0.7209657780000001,2022-01-04 08:00:00,1569,2,0.001110658625272092,12.500303803007828,signal
short,0.720615848,0,0,1.0,1570,2022-01-04 12:00:00,0.72394476,2022-01-04 20:00:00,1572,2,-0.004719537593072699,-53.1767155189717,signal
short,0.7231853340000001,0,0,1.0,1573,2022-01-05 00:00:00,0.722664504,2022-01-05 04:00:00,1574,1,0.0006201888305993046,6.954909433360378,signal
short,0.724535064,0,0,1.0,1575,2022-01-05 08:00:00,0.7221844079999999,2022-01-05 20:00:00,1578,3,0.003144364719938609,35.283342009760226,signal
