side,entry,sl,tp,lots,open_idx,open_time,mfe,mae,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,swap_pct,mae_pct,mfe_pct,reason,ambiguous
long,106.14822539999999,0,0,1.0,8875,2020-09-10 20:00:00,0.0007798020144763305,-0.00014343527593247356,106.13176940000001,2020-09-11 12:00:00,8879,4,-0.0002550284984790402,-5.349415134632904,0.0,-0.00014343527593247356,0.0007798020144763305,signal,False
short,106.118772,0,0,1.0,8882,2020-09-14 00:00:00,0.004408004269028016,0.000638642897224678,105.6721302,2020-09-14 16:00:00,8886,4,0.004108885869881805,86.16500049497239,0.0,0.000638642897224678,0.004408004269028016,signal,False
long,105.7301418,0,0,1.0,8888,2020-09-15 00:00:00,0.0005755993415304246,-0.0004553271108920071,105.7698418,2020-09-15 08:00:00,8890,2,0.0002754842216620984,5.800752777666112,0.0,-0.0004553271108920071,0.0005755993415304246,signal,False
long,105.42508079999999,0,0,1.0,8891,2020-09-15 12:00:00,0.00031225207275353725,0.00031225207275353725,105.43690840000001,2020-09-15 16:00:00,8892,1,1.218962233906986e-05,0.25674234417203085,0.0,0.00031225207275353725,0.00031225207275353725,signal,False
long,105.216039,0,0,1.0,8896,2020-09-16 08:00:00,-0.0013594790429242607,-0.004533900007393271,104.7180522,2020-09-17 08:00:00,8902,6,-0.00483299322739181,-101.79553569013858,0.0,-0.004533900007393271,-0.0013594790429242607,signal,False
long,104.7589476,0,0,1.0,8905,2020-09-17 20:00:00,0.00041096632780613816,-0.00010450276802889909,104.78103960000001,2020-09-18 04:00:00,8907,2,0.00011088413454064592,2.3242237031612762,0.0,-0.00010450276802889909,0.00041096632780613816,signal,False
long,104.49389459999999,0,0,1.0,8908,2020-09-18 08:00:00,0.002364783138248629,-0.0035972876830642625,104.514093,2020-09-22 04:00:00,8919,11,9.329741778054452e-05,1.955808333759432,0.0,-0.0035972876830642625,0.002364783138248629,signal,False
long,104.5689096,0,0,1.0,8921,2020-09-22 12:00:00,0.00436162528369721,0.0033861919508817754,104.90201540000001,2020-09-22 20:00:00,8923,2,0.003085514712491682,64.68816127854303,0.0,0.0033861919508817754,0.00436162528369721,signal,False
long,105.4580874,0,0,1.0,8938,2020-09-25 08:00:00,0.0014689494548902938,-0.0014895718656850463,105.54188740000001,2020-09-29 04:00:00,8949,11,0.0006946284828982282,14.607898126189962,0.0,-0.0014895718656850463,0.0014689494548902938,signal,False
long,105.6971352,0,0,1.0,8950,2020-09-29 08:00:00,0.0009069763321267488,-0.0018745560097262698,105.4779002,2020-09-30 04:00:00,8955,5,-0.0021741810985243413,-45.75435405870202,0.0,-0.0018745560097262698,0.0009069763321267488,signal,False
long,105.5501058,0,0,1.0,8958,2020-09-30 16:00:00,0.0019222548235475374,-0.0032885405217660544,105.64386700000001,2020-10-06 12:00:00,8981,23,0.0007883098627838343,16.55344575813078,0.0,-0.0032885405217660544,0.0019222548235475374,signal,False
short,105.9378082,0,0,1.0,8988,2020-10-07 16:00:00,-0.0003510720169873026,-0.0010023975557386566,106.0332024,2020-10-08 16:00:00,8994,6,-0.0010004736044745448,-21.025159967319457,0.0,-0.0010023975557386566,-0.0003510720169873026,signal,False
short,106.0007956,0,0,1.0,8995,2020-10-08 20:00:00,0.0013471181908751586,0.0006490102230893199,105.8791716,2020-10-09 04:00:00,8997,2,0.0010473876145133108,21.989046110682345,0.0,0.0006490102230893199,0.0013471181908751586,signal,False
